timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
41:30.8,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-2.119704,-0.03270426,1.354419,"Direction(x,y,z):",0.6472747,-0.2807095,-0.7086873
41:30.9,Object,LeftoverObject,201,floor,,,,,,,
41:31.7,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.475019,0.01392931,0.8096212,"Direction(x,y,z):",-0.6046435,-0.6303571,-0.4868841
41:31.7,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.127134,-0.02869936,1.414581,"Direction(x,y,z):",0.6386709,-0.244993,-0.7294367
41:31.9,LOCATION,user_Mileranu,paper754,"ORIGIN(x,y,z):",-2.120845,-0.02723869,1.40327,"Direction(x,y,z):",0.7066223,-0.2039177,-0.6775711
41:32.0,LOCATION,user_Mileranu,Trash721,"ORIGIN(x,y,z):",-2.117396,-0.02741705,1.394024,"Direction(x,y,z):",0.7246445,-0.1961763,-0.6606098
41:33.1,LOCATION,user_Lufohaelae,metal758,"ORIGIN(x,y,z):",1.729519,0.07993612,1.126104,"Direction(x,y,z):",-0.7115794,-0.3283703,-0.6211503
41:33.2,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.984068,-0.04792109,1.019735,"Direction(x,y,z):",0.7871526,-0.3159521,-0.5296841
41:33.3,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-1.975213,-0.04916383,1.002198,"Direction(x,y,z):",0.7619556,-0.3379892,-0.5524372
41:33.9,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.96987,-0.03769742,0.9815794,"Direction(x,y,z):",0.8032212,-0.3128558,-0.5069092
41:34.0,LOCATION,user_Mileranu,paper754,"ORIGIN(x,y,z):",-1.972674,-0.03431011,0.985428,"Direction(x,y,z):",0.8245062,-0.2821468,-0.4904924
41:34.1,LOCATION,user_Mileranu,Trash721,"ORIGIN(x,y,z):",-1.976199,-0.03143818,0.9897477,"Direction(x,y,z):",0.8409432,-0.2556393,-0.476931
41:34.4,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.742467,0.07748408,1.131926,"Direction(x,y,z):",-0.7292107,-0.32147,-0.6040769
41:34.6,LOCATION,user_Lufohaelae,metal758,"ORIGIN(x,y,z):",1.744838,0.07690036,1.135742,"Direction(x,y,z):",-0.7296261,-0.3195252,-0.6046068
41:34.9,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.999252,-0.04596718,1.008729,"Direction(x,y,z):",0.8321463,-0.3240121,-0.4500541
41:34.9,LOCATION,user_Lufohaelae,glass716,"ORIGIN(x,y,z):",1.751646,0.0751517,1.146853,"Direction(x,y,z):",-0.728156,-0.3116359,-0.6104686
41:35.2,LOCATION,user_Mileranu,paper754,"ORIGIN(x,y,z):",-2.003622,-0.04179015,1.010302,"Direction(x,y,z):",0.8349836,-0.2779903,-0.4748935
41:35.6,LOCATION,user_Lufohaelae,metal758,"ORIGIN(x,y,z):",1.802231,0.06451441,1.205267,"Direction(x,y,z):",-0.5711042,-0.3657922,-0.7348715
41:35.7,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.01089,-0.0374935,1.019035,"Direction(x,y,z):",0.8838927,-0.2291484,-0.4077065
41:35.8,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.802567,0.06445483,1.204955,"Direction(x,y,z):",-0.5675504,-0.367677,-0.7366818
41:35.8,LOCATION,user_Mileranu,metal759,"ORIGIN(x,y,z):",-2.0115,-0.03783537,1.019866,"Direction(x,y,z):",0.8891134,-0.2280214,-0.3968421
41:35.9,Object,LeftoverObject,202,floor,,,,,,,
41:35.9,Object,SortedObject,125,metal758,,,,,,,
41:36.2,LOCATION,user_Mileranu,Trash721,"ORIGIN(x,y,z):",-2.014692,-0.03876398,1.025104,"Direction(x,y,z):",0.9030744,-0.2262357,-0.3650672
41:37.1,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.799296,0.06508895,1.209841,"Direction(x,y,z):",-0.5967083,-0.3453661,-0.7243352
41:37.6,LOCATION,user_Mileranu,metal759,"ORIGIN(x,y,z):",-2.054705,-0.0415866,1.07222,"Direction(x,y,z):",0.9241995,-0.2402329,-0.2968895
41:37.8,LOCATION,user_Lufohaelae,glass716,"ORIGIN(x,y,z):",1.791947,0.0659256,1.223591,"Direction(x,y,z):",-0.6839853,-0.331773,-0.6496851
41:38.1,LOCATION,user_Lufohaelae,Danger726,"ORIGIN(x,y,z):",1.765473,0.0670744,1.252699,"Direction(x,y,z):",-0.8979771,-0.2754917,-0.3431349
41:38.1,LOCATION,user_Mileranu,Trash763,"ORIGIN(x,y,z):",-2.092388,-0.0359663,1.210444,"Direction(x,y,z):",0.8735238,-0.2143864,-0.4370293
41:38.2,LOCATION,user_Mileranu,Danger724,"ORIGIN(x,y,z):",-2.096611,-0.03514898,1.23232,"Direction(x,y,z):",0.864742,-0.2033589,-0.4592021
41:38.4,LOCATION,user_Mileranu,Trash763,"ORIGIN(x,y,z):",-2.105891,-0.0357275,1.270322,"Direction(x,y,z):",0.8298405,-0.2337119,-0.5066986
41:38.4,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.112047,-0.03889916,1.283434,"Direction(x,y,z):",0.7864992,-0.2843451,-0.5482398
41:38.4,LOCATION,user_Lufohaelae,paper754,"ORIGIN(x,y,z):",1.766636,0.06833784,1.251556,"Direction(x,y,z):",-0.9097114,-0.2625696,-0.321687
41:38.5,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-2.118169,-0.03731308,1.293838,"Direction(x,y,z):",0.7503926,-0.2990783,-0.5894601
41:38.5,LOCATION,user_Lufohaelae,metal759,"ORIGIN(x,y,z):",1.767512,0.06890842,1.249852,"Direction(x,y,z):",-0.9107713,-0.2599795,-0.3207904
41:38.5,LOCATION,user_Lufohaelae,paper754,"ORIGIN(x,y,z):",1.768551,0.06953133,1.24756,"Direction(x,y,z):",-0.9118133,-0.2574806,-0.3198442
41:38.7,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.130661,-0.03200103,1.31055,"Direction(x,y,z):",0.6969794,-0.2721829,-0.6634277
